Node,mean,stdev
369,8.056,0.326
370,8.057,0.325
371,8.057,0.325
372,8.058,0.325
373,8.059,0.325
374,8.060,0.325
375,8.060,0.324
376,8.060,0.324
377,8.061,0.324
378,8.060,0.323
379,8.060,0.323
380,8.060,0.322
381,8.060,0.322
382,8.060,0.322
383,8.059,0.320
384,8.060,0.320
385,8.060,0.320
386,8.060,0.320
387,8.062,0.322
388,8.062,0.322
389,8.062,0.323
390,8.063,0.323
391,8.063,0.323
392,8.063,0.322
393,8.063,0.322
394,8.065,0.322
395,8.067,0.322
396,8.068,0.323
397,8.070,0.331
398,8.071,0.331
399,8.070,0.330
400,8.065,0.325
401,8.066,0.325
402,8.066,0.324
403,8.064,0.322
404,8.065,0.322
405,8.066,0.322
406,8.066,0.321
407,8.068,0.321
408,8.069,0.321
409,8.072,0.320
410,8.073,0.320
411,8.074,0.320
412,8.075,0.320
413,8.068,0.320
414,8.073,0.321
415,8.075,0.318
416,8.077,0.318
417,8.077,0.317
418,8.078,0.317
419,8.079,0.317
420,8.080,0.317
421,8.081,0.317
422,8.082,0.316
423,8.083,0.317
424,8.084,0.316
425,8.083,0.315
426,8.084,0.316
427,8.085,0.316
428,8.085,0.316
429,8.086,0.316
430,8.087,0.316
431,8.086,0.315
432,8.086,0.315
433,8.085,0.314
434,8.086,0.314
435,8.087,0.313
436,8.087,0.314
437,8.088,0.313
438,8.089,0.314
439,8.091,0.313
440,8.092,0.313
441,8.092,0.312
442,8.091,0.312
443,8.093,0.312
444,8.093,0.311
445,8.094,0.310
446,8.094,0.310
447,8.094,0.309
448,8.093,0.310
449,8.093,0.309
450,8.094,0.309
451,8.093,0.309
452,8.093,0.309
453,8.094,0.310
454,8.094,0.309
455,8.093,0.309
456,8.092,0.308
457,8.091,0.308
458,8.091,0.308
459,8.091,0.309
460,8.091,0.309
461,8.091,0.309
462,8.090,0.309
463,8.089,0.309
464,8.088,0.310
465,8.089,0.309
466,8.088,0.309
467,8.088,0.309
468,8.088,0.309
469,8.088,0.309
470,8.088,0.309
471,8.088,0.309
472,8.089,0.309
473,8.089,0.309
474,8.090,0.309
475,8.090,0.309
476,8.090,0.309
477,8.091,0.308
478,8.092,0.308
479,8.094,0.305
480,8.097,0.304
481,8.097,0.304
482,8.099,0.303
483,8.100,0.303
484,8.100,0.303
485,8.101,0.303
486,8.101,0.303
487,8.101,0.303
488,8.100,0.302
489,8.099,0.301
490,8.100,0.301
491,8.100,0.301
