Node,mean,stdev
1401,8.339,0.319
1402,8.339,0.319
1403,8.339,0.319
1404,8.339,0.319
1405,8.339,0.319
1406,8.339,0.319
1407,8.340,0.319
1408,8.340,0.319
1409,8.341,0.319
1410,8.341,0.319
1411,8.342,0.319
1412,8.341,0.319
1413,8.341,0.319
1414,8.341,0.319
1415,8.342,0.319
1416,8.342,0.319
1417,8.343,0.320
1418,8.343,0.320
1419,8.342,0.320
1420,8.343,0.320
1421,8.343,0.320
1422,8.343,0.320
1423,8.343,0.319
1424,8.343,0.319
1425,8.343,0.319
1426,8.343,0.319
1427,8.343,0.319
1428,8.344,0.319
1429,8.344,0.319
1430,8.345,0.319
1431,8.344,0.319
1432,8.345,0.319
1433,8.345,0.318
1434,8.345,0.318
1435,8.346,0.319
1436,8.346,0.319
1437,8.346,0.318
1438,8.347,0.318
1439,8.347,0.319
1440,8.346,0.319
1441,8.346,0.318
1442,8.347,0.318
1443,8.347,0.319
1444,8.347,0.319
1445,8.347,0.319
1446,8.347,0.319
1447,8.347,0.320
1448,8.347,0.320
1449,8.347,0.320
1450,8.348,0.320
1451,8.347,0.320
1452,8.347,0.320
1453,8.347,0.320
1454,8.346,0.320
1455,8.346,0.320
1456,8.346,0.320
1457,8.346,0.320
1458,8.346,0.320
1459,8.346,0.319
1460,8.347,0.320
1461,8.346,0.320
1462,8.347,0.320
1463,8.348,0.321
1464,8.348,0.321
1465,8.348,0.322
1466,8.348,0.322
1467,8.348,0.322
1468,8.348,0.322
1469,8.349,0.322
1470,8.349,0.322
1471,8.349,0.322
1472,8.349,0.321
1473,8.350,0.321
1474,8.350,0.322
1475,8.349,0.322
1476,8.350,0.322
1477,8.350,0.322
1478,8.350,0.322
1479,8.350,0.322
1480,8.349,0.322
1481,8.349,0.321
1482,8.349,0.321
1483,8.349,0.322
1484,8.349,0.322
1485,8.348,0.322
1486,8.349,0.322
1487,8.349,0.322
1488,8.349,0.322
1489,8.349,0.322
1490,8.349,0.323
1491,8.349,0.322
1492,8.349,0.322
1493,8.350,0.322
1494,8.351,0.322
1495,8.351,0.322
1496,8.351,0.322
1497,8.351,0.322
1498,8.352,0.322
1499,8.352,0.322
1500,8.353,0.321
1501,8.353,0.321
1502,8.353,0.321
1503,8.352,0.321
1504,8.352,0.321
1505,8.353,0.321
1506,8.353,0.321
1507,8.353,0.321
1508,8.353,0.322
1509,8.354,0.322
1510,8.354,0.322
1511,8.353,0.322
1512,8.354,0.321
1513,8.354,0.321
1514,8.354,0.321
1515,8.354,0.321
1516,8.354,0.321
1517,8.355,0.321
1518,8.355,0.321
1519,8.355,0.321
1520,8.355,0.321
1521,8.355,0.321
1522,8.355,0.321
1523,8.355,0.321
1524,8.355,0.321
1525,8.355,0.321
1526,8.355,0.321
1527,8.356,0.321
1528,8.356,0.321
1529,8.356,0.321
1530,8.356,0.321
1531,8.356,0.321
1532,8.357,0.321
1533,8.356,0.321
1534,8.356,0.321
1535,8.356,0.321
1536,8.357,0.321
1537,8.357,0.321
1538,8.357,0.321
1539,8.357,0.321
1540,8.357,0.321
1541,8.357,0.321
1542,8.357,0.321
1543,8.357,0.321
1544,8.357,0.321
1545,8.356,0.321
1546,8.357,0.321
1547,8.356,0.321
1548,8.357,0.321
1549,8.356,0.321
1550,8.356,0.323
1551,8.357,0.322
1552,8.357,0.323
1553,8.356,0.323
1554,8.356,0.323
1555,8.356,0.323
1556,8.356,0.323
1557,8.356,0.323
1558,8.357,0.323
1559,8.357,0.322
1560,8.357,0.322
1561,8.357,0.322
1562,8.358,0.322
1563,8.358,0.322
1564,8.357,0.322
1565,8.357,0.322
1566,8.357,0.322
1567,8.357,0.322
1568,8.357,0.322
1569,8.357,0.322
1570,8.356,0.322
1571,8.357,0.321
1572,8.356,0.322
1573,8.356,0.322
1574,8.356,0.322
1575,8.356,0.322
1576,8.356,0.322
1577,8.356,0.322
1578,8.356,0.322
1579,8.355,0.322
1580,8.355,0.322
1581,8.357,0.322
1582,8.357,0.322
1583,8.357,0.322
1584,8.357,0.322
1585,8.356,0.323
1586,8.357,0.323
1587,8.357,0.322
1588,8.356,0.322
1589,8.355,0.322
1590,8.355,0.322
1591,8.356,0.322
1592,8.356,0.322
1593,8.356,0.322
1594,8.356,0.322
1595,8.355,0.322
1596,8.355,0.322
1597,8.355,0.322
1598,8.356,0.322
1599,8.356,0.322
1600,8.356,0.322
1601,8.356,0.321
1602,8.357,0.321
1603,8.357,0.321
1604,8.357,0.321
1605,8.356,0.321
1606,8.356,0.321
1607,8.355,0.320
1608,8.355,0.321
1609,8.356,0.320
1610,8.356,0.320
1611,8.359,0.320
1612,8.360,0.319
1613,8.360,0.319
1614,8.360,0.320
1615,8.360,0.320
1616,8.360,0.320
1617,8.360,0.320
1618,8.361,0.320
1619,8.361,0.320
1620,8.361,0.320
1621,8.361,0.320
1622,8.361,0.320
1623,8.361,0.319
1624,8.362,0.320
1625,8.361,0.320
1626,8.362,0.320
1627,8.362,0.320
1628,8.362,0.320
1629,8.362,0.320
1630,8.362,0.320
1631,8.363,0.320
1632,8.363,0.320
1633,8.364,0.320
1634,8.364,0.320
1635,8.364,0.320
1636,8.364,0.320
1637,8.364,0.320
1638,8.364,0.320
1639,8.365,0.319
1640,8.365,0.319
1641,8.365,0.319
1642,8.365,0.319
1643,8.367,0.319
1644,8.368,0.319
1645,8.368,0.319
1646,8.369,0.319
1647,8.373,0.320
1648,8.373,0.320
1649,8.374,0.320
1650,8.374,0.320
1651,8.375,0.320
1652,8.375,0.320
1653,8.376,0.320
1654,8.376,0.320
1655,8.376,0.320
1656,8.376,0.320
1657,8.376,0.320
1658,8.376,0.320
1659,8.377,0.320
1660,8.377,0.320
1661,8.379,0.320
1662,8.379,0.320
1663,8.379,0.320
1664,8.380,0.319
1665,8.379,0.319
1666,8.380,0.319
1667,8.380,0.319
1668,8.381,0.319
1669,8.381,0.318
1670,8.381,0.319
1671,8.381,0.318
1672,8.381,0.318
1673,8.381,0.318
1674,8.381,0.317
1675,8.381,0.317
1676,8.381,0.317
1677,8.381,0.317
1678,8.382,0.317
1679,8.382,0.316
1680,8.383,0.316
1681,8.383,0.316
1682,8.384,0.316
1683,8.384,0.316
1684,8.385,0.316
1685,8.385,0.316
1686,8.385,0.316
1687,8.385,0.316
1688,8.385,0.316
1689,8.386,0.315
1690,8.386,0.316
1691,8.386,0.316
1692,8.387,0.316
1693,8.388,0.315
1694,8.388,0.316
1695,8.388,0.316
1696,8.388,0.316
1697,8.389,0.316
1698,8.388,0.316
1699,8.389,0.315
1700,8.389,0.316
1701,8.389,0.315
1702,8.389,0.316
1703,8.389,0.316
1704,8.389,0.316
1705,8.389,0.316
1706,8.389,0.315
1707,8.389,0.316
1708,8.389,0.316
1709,8.389,0.316
1710,8.388,0.315
1711,8.388,0.315
1712,8.388,0.315
1713,8.388,0.315
1714,8.388,0.315
1715,8.388,0.315
1716,8.388,0.315
1717,8.387,0.315
1718,8.388,0.314
1719,8.387,0.314
1720,8.387,0.314
1721,8.387,0.314
1722,8.387,0.314
1723,8.387,0.314
1724,8.386,0.314
1725,8.386,0.314
1726,8.386,0.314
1727,8.386,0.314
1728,8.386,0.314
1729,8.386,0.314
1730,8.385,0.314
1731,8.385,0.314
1732,8.385,0.314
1733,8.385,0.314
1734,8.385,0.314
1735,8.385,0.314
1736,8.385,0.314
1737,8.385,0.314
1738,8.385,0.314
1739,8.385,0.314
1740,8.385,0.314
1741,8.385,0.314
1742,8.386,0.314
1743,8.386,0.314
1744,8.388,0.312
1745,8.388,0.312
1746,8.388,0.312
1747,8.388,0.312
1748,8.388,0.312
1749,8.388,0.312
1750,8.388,0.312
1751,8.388,0.312
1752,8.389,0.312
1753,8.388,0.312
1754,8.388,0.312
1755,8.386,0.312
1756,8.386,0.312
1757,8.386,0.312
1758,8.386,0.312
1759,8.387,0.313
1760,8.386,0.313
1761,8.386,0.312
1762,8.386,0.313
1763,8.386,0.313
1764,8.386,0.312
1765,8.387,0.312
1766,8.387,0.312
1767,8.387,0.312
1768,8.386,0.312
1769,8.387,0.312
1770,8.387,0.313
1771,8.387,0.313
1772,8.387,0.313
1773,8.387,0.313
1774,8.387,0.312
1775,8.387,0.312
1776,8.386,0.312
1777,8.386,0.312
1778,8.386,0.312
1779,8.387,0.311
1780,8.386,0.310
1781,8.386,0.310
1782,8.386,0.310
1783,8.395,0.307
1784,8.396,0.306
1785,8.396,0.307
1786,8.397,0.307
1787,8.397,0.307
1788,8.397,0.307
1789,8.397,0.307
1790,8.397,0.307
1791,8.397,0.307
1792,8.397,0.307
1793,8.397,0.307
1794,8.397,0.307
1795,8.396,0.308
1796,8.396,0.307
1797,8.396,0.307
1798,8.396,0.308
1799,8.396,0.308
1800,8.396,0.308
1801,8.395,0.309
1802,8.395,0.309
1803,8.395,0.309
1804,8.396,0.309
1805,8.396,0.309
1806,8.395,0.309
1807,8.396,0.310
1808,8.396,0.309
1809,8.396,0.309
1810,8.397,0.309
1811,8.397,0.309
1812,8.398,0.309
1813,8.397,0.309
1814,8.398,0.309
1815,8.403,0.308
1816,8.403,0.308
1817,8.403,0.307
1818,8.405,0.307
1819,8.407,0.306
1820,8.414,0.305
1821,8.414,0.305
1822,8.414,0.305
1823,8.416,0.305
1824,8.417,0.304
1825,8.418,0.304
1826,8.418,0.304
1827,8.418,0.304
1828,8.418,0.304
1829,8.419,0.303
1830,8.420,0.303
1831,8.420,0.303
1832,8.421,0.303
1833,8.420,0.303
1834,8.422,0.303
1835,8.422,0.303
1836,8.422,0.303
1837,8.422,0.303
1838,8.422,0.303
1839,8.423,0.303
1840,8.423,0.303
1841,8.423,0.303
1842,8.423,0.303
1843,8.424,0.303
1844,8.423,0.303
1845,8.424,0.302
1846,8.424,0.302
1847,8.424,0.302
1848,8.424,0.302
1849,8.425,0.301
1850,8.425,0.301
1851,8.425,0.301
1852,8.426,0.301
1853,8.428,0.300
1854,8.427,0.300
1855,8.428,0.300
1856,8.428,0.300
1857,8.428,0.299
1858,8.429,0.299
1859,8.429,0.299
1860,8.429,0.299
1861,8.429,0.299
1862,8.429,0.299
1863,8.430,0.299
1864,8.431,0.299
1865,8.431,0.299
1866,8.431,0.299
1867,8.431,0.299
1868,8.432,0.298
1869,8.433,0.296
1870,8.433,0.296
1871,8.433,0.296
1872,8.433,0.296
1873,8.434,0.295
1874,8.434,0.294
1875,8.435,0.294
1876,8.435,0.294
1877,8.434,0.294
1878,8.434,0.294
1879,8.434,0.293
1880,8.433,0.293
1881,8.433,0.293
1882,8.432,0.292
1883,8.432,0.292
1884,8.432,0.292
1885,8.433,0.291
1886,8.432,0.291
1887,8.434,0.291
1888,8.434,0.291
1889,8.434,0.291
1890,8.434,0.292
1891,8.434,0.292
1892,8.434,0.292
1893,8.434,0.292
1894,8.434,0.292
1895,8.434,0.291
1896,8.434,0.291
1897,8.434,0.291
1898,8.434,0.292
1899,8.434,0.292
1900,8.434,0.292
1901,8.434,0.292
1902,8.434,0.292
1903,8.434,0.292
1904,8.434,0.292
1905,8.434,0.292
1906,8.434,0.292
1907,8.434,0.292
1908,8.434,0.292
1909,8.435,0.292
1910,8.435,0.292
1911,8.435,0.292
1912,8.434,0.292
1913,8.435,0.291
1914,8.435,0.291
1915,8.435,0.291
1916,8.435,0.291
1917,8.435,0.290
1918,8.434,0.290
1919,8.434,0.290
1920,8.434,0.290
1921,8.434,0.290
1922,8.435,0.289
1923,8.435,0.289
1924,8.434,0.289
1925,8.433,0.289
1926,8.433,0.289
1927,8.433,0.289
1928,8.436,0.289
1929,8.436,0.289
1930,8.436,0.289
1931,8.436,0.289
1932,8.435,0.289
1933,8.435,0.289
1934,8.435,0.289
1935,8.433,0.289
1936,8.433,0.289
1937,8.432,0.289
1938,8.432,0.289
1939,8.432,0.289
1940,8.432,0.289
1941,8.432,0.289
1942,8.432,0.289
1943,8.431,0.289
1944,8.431,0.288
1945,8.423,0.282
1946,8.423,0.282
1947,8.420,0.281
1948,8.420,0.281
1949,8.420,0.281
1950,8.419,0.279
1951,8.419,0.279
1952,8.419,0.279
1953,8.419,0.279
1954,8.418,0.278
1955,8.417,0.278
1956,8.417,0.278
1957,8.417,0.278
1958,8.416,0.278
1959,8.417,0.278
1960,8.414,0.275
1961,8.414,0.275
1962,8.414,0.276
1963,8.415,0.275
1964,8.415,0.275
1965,8.414,0.275
1966,8.414,0.275
1967,8.413,0.275
1968,8.413,0.276
1969,8.413,0.276
1970,8.413,0.276
1971,8.412,0.275
1972,8.412,0.275
1973,8.411,0.275
1974,8.410,0.274
1975,8.410,0.274
1976,8.410,0.274
1977,8.410,0.274
1978,8.410,0.275
1979,8.409,0.275
1980,8.408,0.274
1981,8.408,0.274
1982,8.408,0.274
1983,8.408,0.274
1984,8.407,0.274
1985,8.407,0.274
1986,8.407,0.273
1987,8.407,0.274
1988,8.407,0.273
1989,8.406,0.272
1990,8.406,0.273
1991,8.406,0.273
1992,8.405,0.273
1993,8.406,0.273
1994,8.405,0.273
1995,8.406,0.273
1996,8.406,0.272
1997,8.403,0.275
1998,8.402,0.276
1999,8.403,0.276
2000,8.403,0.275
